iter	Passed	Remaining
1610	29739	7181
1611	29758	7162
1612	29776	7144
1613	29793	7125
1614	29812	7107
1615	29833	7089
1616	29852	7070
1617	29871	7052
1618	29889	7033
1619	29907	7015
1620	29928	6997
1621	29946	6978
1622	29965	6960
1623	29986	6942
1624	30005	6924
1625	30023	6905
1626	30042	6887
1627	30061	6868
1628	30079	6850
1629	30097	6831
1630	30115	6813
1631	30132	6794
1632	30151	6776
1633	30170	6757
1634	30187	6739
1635	30206	6720
1636	30224	6702
1637	30242	6683
1638	30261	6665
1639	30280	6646
1640	30300	6628
1641	30318	6610
1642	30336	6591
1643	30356	6573
1644	30375	6555
1645	30394	6536
1646	30412	6518
1647	30432	6500
1648	30450	6481
1649	30468	6463
1650	30487	6444
1651	30504	6425
1652	30522	6407
1653	30541	6389
1654	30560	6370
1655	30579	6352
1656	30598	6333
1657	30616	6315
1658	30635	6296
1659	30654	6278
1660	30673	6260
1661	30692	6241
